date,author,title,tags
24-May-21,Hashmap,We're Excited for Snowflake Summit 2021 Here's Why,Snowpark
14-May-21,Hashmap,Digging into Data Governance and Data Modeling,Data Modeling
3-May-21,Shekhar Parnerkar,A Quick Start Guide to Change Data Capture with Debezium,Change Data Capture
17-Mar-21,David Hrncir and Chinmayee Lakkad,Extracting Facebook Insights via Fivetran and Snowflake,Fivetran
4-Feb-21,Jhimli Bora,Understanding Great Expectations and How to Use It,Data Profiling
29-Jan-21,Venkat Sekar,Cataloging Metadata in Snowflake,Snowflake
26-Jan-21,Jhimli Bora,Data Science for Executives,Supervised Learning
19-Jan-21,Scottie Bryan,Strategy and the Cloud Access to Data,Strategy
13-Jan-21,Scottie Bryan,"Strategy and the Cloud Delegate, Delegate, Delegate",Cloud Strategy
12-Jan-21,Scottie Bryan,Strategy and the Cloud Think Strategic,Data Strategy
8-Jan-21,John Aven & Jhimli Bora,Introducing Hashmap Data Migrator,Data Migration
21-Dec-20,Archit Pandita,What's New with Airflow 2.0,Python
4-Dec-20,John Aven,"Exploring DevOps Options
Working with GitLab",DevOps
23-Nov-20,Sam Kohlleffel,Creating Reusable CI/CD Pipelines with GitLab,Docker
18-Nov-20,Venkat Sekar,Verifying Deployment Using Terraform State Files,Iac
28-Oct-20,John Aven,Building ML Pipelines,Argo
8-Oct-20,Sam Kohlleffel,Automating a React App Hosted on AWS S3 (Part 3): Snowflake Healthcheck,Snowflake
5-Oct-20,Randy Pitcher,Supercharge Your Snowflake Billing Statement with Custom User Metrics,Data Science
10-Sep-20,Laurent Weichberger and Shubham Nikam,Hortonworks Data Platform 2.6.5 In-Place Upgrade to Cloudera Data Platform 7,Cloudera
18-Aug-20,Sam Kohlleffel,How to Get a Snowflake Data Quality Assessment in 60 Seconds,Data
4-Aug-20,Senthil Anandarangan & Ganesh Hegde,How to Connect S3 Data to Looker using Starburst Presto,Presto
23-Jun-20,Venkat Sekar,Deploying and Running dbt on AWS Fargate,Aws Fargate
12-May-20,Randy Pitcher,Automate Code Deployment with AWS EC2 Build Agents for your Azure DevOps Pipelines,Azure
23-Apr-20,Luke Kline,"My Top 2 Time-Saving, Data Quality Solutions for Hubspot",Data Quality
20-Apr-20,Venkat Sekar,Data Sync to Snowflake Using Confluent Kafka Connect: Part 1,Snowflake
20-Feb-20,Venkat Sekar,"Quickly Visualize Snowflake's Roles, Grants, and Privileges",Snowflake
31-Jan-20,John Aven,Data Science Repo Scaffolding for the Next Generation,Data
29-Jan-20,Randy Pitcher,The Hitchhiker's Guide to Timestamps in Snowflake: Part 1,Cloud Computing
27-Jan-20,John Aven,Streamsets & Snowflake:,Streamsets
7-Jan-20,John Aven,Versioning Data Science Solutions,Machine Learning
20-Oct-21,Hashmap,"Lessons Learned in Building a Modern Data Stack with Erik Jones from Hyperscience
Hashmap on Tap Ep. 90'�",Snowflake
14-Sep-21,Hashmap,"The Power of Community and Analytics Engineering with Tristan Handy, Founder & CEO of dbt Labs",Data Engineering
18-Aug-21,Hashmap,"Digging Into DataOps and Its Benefits, Hashmap on Tap Podcast, Ep. 83",Data Analytics
4-Aug-21,Mohini Kalamkar,Getting to Know Snowflake Snowsight Snowflake's Interactive SQL Editor,Sql
21-Jul-21,Venkat Sekar,Parsing Complex Excel Files Using Snowflake's New Java UDF Feature,Data
12-Jul-21,Jalindar Karande,Sending Email Notifications from Snowflake Using External Functions,Snowflake
7-Jul-21,Hashmap,Developing SQL-Based Streaming Data Apps with Arjun Narayan of Materialize,Materialize
23-Jun-21,Hashmap,Monte Carlo: Using Data Observability to Improve Data Reliability,Data
17-Jun-21,Jalindar Karande,Handling Deadlocks in Snowflake,Data Warehouse
15-Jun-21,Hashmap,Epiq Global: Simplifying eDiscovery with Snowflake,Cloud Computing
26-May-21,Shubham Nikam and Laurent Weichberger,How to Perform a Cloudera CDH v6 Migration to CDP Public Cloud (AWS),AWS
24-May-21,Shekhar Parnerkar,A Quick Start Guide to Using the Snowflake Connector for Kafka,Open Source
10-May-21,Chinmayee Lakkad,How We Use Hashmap Data Cataloger (hdc) in Cloud Data Migrations: Part 2,Snowflake
29-Mar-21,Archit Pandita,How to Build and Deploy Docker Images on GKE (Google Kubernetes Engine)' Part 2,Docker
28-Jan-21,Sam Kohlleffel,Cloudy SQL Querying Snowflake Inside a Jupyter Notebook,Data
26-Jan-21,Prabha Rashmi,Know Your Data Pipelines with Great Expectations,Data Profiling
18-Jan-21,Venkat Sekar,Integrating dbt with Azure Data Factory (ADF),Azure
12-Jan-21,Jhimli Bora & John Aven,Understanding State Management in Hashmap Data Migrator,Data Migration
11-Jan-21,Jhimli Bora & John Aven,"Accelerating Netezza to Snowflake Migrations
Using Hashmap Data Migrator",Data Migration
7-Jan-21,Venkat Sekar,Deploying and Running dbt on Azure Container Instances,Azure Container Instances
16-Dec-20,The Hashmap Team,Hashmap Engineering & Technology: Our Top 10 Most Popular Articles in 2020,Data
3-Dec-20,Sam Kohlleffel,Behind the Scenes of Snowflake Healthcheck,React
19-Nov-20,John Aven,"Building ML Pipelines
Dockerizing Your Code",Data Science
18-Nov-20,Shekhar Parnerkar and Gaurav Kholiya,"Staging, Ingesting, and Transforming Excel Files",Data Transformation
20-Oct-20,Shekhar Parnerkar and Pooja Sankpal,Four Steps for Migrating from Hive 2.x to 3.x,Cloudera Data Platform
8-Oct-20,Sam Kohlleffel,Automating a React App Hosted on AWS S3 (Part 2): Snowflake Healthcheck,React
25-Sep-20,Shekhar Parnerkar,Make The Most Of Your Azure Data Factory Pipelines,DevOps
26-Aug-20,Kelly Kohlleffel,How To Get Rid of Data Integration Option Fatigue in Just 10 Minutes,Data Integration
14-Aug-20,Senthil Anandarangan & Ganesh Hegde,Using Starburst Presto to Federate SQL Queries Across Multiple Data Sources,Looker
9-Jul-20,Venkat Sekar,How to Integrate SQL Databases with Snowflake Using AWS Glue,Data
12-Jun-20,Kieran Healey & Senthil Anandarangan,ADF Snowflake Connector: A Bit Underbaked,Data
30-Apr-20,Prakash Bharathi & Kelly Kohlleffel,"Talking Data, the Cloud, Matillion, and Snowflake",Data
22-Apr-20,Randy Pitcher,Snowflake Cheatsheet | 3 Approaches to Creating Users,Data
15-Apr-20,Yu Fai Wong,Moving On-Prem Oracle Databases to Snowflake,Oracle
20-Feb-20,Kieran Healey,#Tech in 5 Real-Time Architecture,Data
30-Jan-20,Kieran Healey,Snowflake Azure Storage Integration,Azure
29-Jan-20,John Aven,Snowflake Anti-Patterns: The Probable Data Scientist,Cloud Computing
10-Jan-20,Kieran Healey,#Tech in 5 Snowflake & Dask,Data Engineering
7-Jan-20,John Aven,Evolving Data Science,AI
29-Sep-21,Kedar Waval,Snowflake External Tables Quick Setup Guide,Aws Sqs
1-Sep-21,Hashmap,"Creating a Modern SQL Notebook with Oliver Hughes, Co-Founder & CEO of Count",Data
9-Aug-21,Venkat Sekar,Cataloging Metadata in Snowflake with SnowCAT,Data Catalog
28-Jul-21,Chinmayee Lakkad,Why You Should Use Snowflake's External Tables,Cloud Computing
19-Jul-21,Hashmap,Behind the Scenes of Our 2021 Cloud Data Platform Benchmarking & Analysis,Data Warehouse
9-Jul-21,Venkat Sekar,Using AWS SAM to Develop Snowflake External Functions,AWS
24-Jun-21,Hashmap,5 Compelling Snowflake Customer Metrics That You Need to Know,Cloud
22-Jun-21,Venkat Sekar,Performing Data Quality Checks in Snowflake Part 2,Snowflake
16-Jun-21,Hashmap,Everything You Missed at Snowflake Summit 2021,Data
